,county_state,county,state,state_long,total_zipcode_score,id
83,"Armstrong County, TX",Armstrong County,TX,Texas,0.42875250420168065,48011
84,"Aroostook County, ME",Aroostook County,ME,Maine,0.3357377170954662,23003
85,"Arthur County, NE",Arthur County,NE,Nebraska,0.3023953277310924,31005
86,"Ascension Parish, LA",Ascension Parish,LA,Louisiana,0.6236879582800618,22005
87,"Ashe County, NC",Ashe County,NC,North Carolina,0.4102576128637805,37009
88,"Ashland County, OH",Ashland County,OH,Ohio,0.4877885714285714,39005
89,"Ashland County, WI",Ashland County,WI,Wisconsin,0.3776271260504202,55003
90,"Ashley County, AR",Ashley County,AR,Arkansas,0.2724286757679991,05003
91,"Ashtabula County, OH",Ashtabula County,OH,Ohio,0.46308011834075286,39007
92,"Asotin County, WA",Asotin County,WA,Washington,0.5791175540857108,53003
93,"Assumption Parish, LA",Assumption Parish,LA,Louisiana,0.4257070342032244,22007
94,"Atascosa County, TX",Atascosa County,TX,Texas,0.5128585639830456,48013
95,"Atchison County, KS",Atchison County,KS,Kansas,0.39307835896459054,20005
96,"Atchison County, MO",Atchison County,MO,Missouri,0.4151797647058824,29005
97,"Athens County, OH",Athens County,OH,Ohio,0.3997312268907563,39009
98,"Atkinson County, GA",Atkinson County,GA,Georgia,0.427275731092437,13003
99,"Atlantic County, NJ",Atlantic County,NJ,New Jersey,0.5599206176529962,34001
100,"Atoka County, OK",Atoka County,OK,Oklahoma,0.3851183655600723,40005
101,"Attala County, MS",Attala County,MS,Mississippi,0.3156924136369573,28007
102,"Audrain County, MO",Audrain County,MO,Missouri,0.39740189744896465,29007
103,"Audubon County, IA",Audubon County,IA,Iowa,0.3314082532012333,19009
104,"Auglaize County, OH",Auglaize County,OH,Ohio,0.6129402476121866,39011
105,"Augusta County, VA",Augusta County,VA,Virginia,0.4717418979484399,51015
106,"Aurora County, SD",Aurora County,SD,South Dakota,0.5171663865546219,46003
107,"Austin County, TX",Austin County,TX,Texas,0.5179460608066119,48015
108,"Autauga County, AL",Autauga County,AL,Alabama,0.46834596705945686,01001
109,"Avery County, NC",Avery County,NC,North Carolina,0.4147319679100123,37011
110,"Avoyelles Parish, LA",Avoyelles Parish,LA,Louisiana,0.3770197420963676,22009
111,"Baca County, CO",Baca County,CO,Colorado,0.3608234789915966,08009
112,"Bacon County, GA",Bacon County,GA,Georgia,0.417787661321087,13005
113,"Bailey County, TX",Bailey County,TX,Texas,0.4243902996622809,48017
114,"Baker County, FL",Baker County,FL,Florida,0.5898010148178198,12003
115,"Baker County, GA",Baker County,GA,Georgia,0.2665558032750548,13007
116,"Baker County, OR",Baker County,OR,Oregon,0.3764987718208706,41001
